CE 457 x 77.2,98.7,457,15.2,104,15.9,29,37,77.2,64,21.7932,20.2,2.76,26097.7,"1,141",16.28,678,82,2.6,84.5,264507.8,17.0,0.939
CE 457 x 68.2,87.1,457,12.7,102,15.9,29,37,68.2,64,21.9964,23.1,2.83,24058.2,"1,052",16.64,620,78,2.7,60.4,240876.7,17.4,0.933
CE 457 x 63.5,81.3,457,11.4,100,15.9,29,37,63.5,64,22.2758,24.6,2.87,23059.2,"1,008",16.87,595,76,2.7,51.2,228792.6,17.7,0.93
CE 330 x 74.4,94.8,330,20.0,112,15.5,29,37,74.4,64,24.7396,20.7,1.90,13069.7,791,11.73,683,78,2.7,123.2,149843.0,12.9,0.875
CE 330 x 59.5,76.1,330,14.2,106,15.5,29,37,59.5,64,24.4602,26.2,2.00,11363.1,687,12.24,570,69,2.7,64.5,124063.6,13.5,0.859
CE 330 x 52.1,66.5,330,11.4,103,15.5,29,37,52.1,64,24.892,29.5,2.06,10489.0,636,12.57,512,65,2.8,47.0,110636.8,14.0,0.849
CE 330 x 47.3,60.3,330,9.5,102,15.5,29,37,47.3,64,25.4,31.5,2.10,9947.9,601,12.83,475,62,2.8,39.0,102043.6,14.3,0.842
CE 305 x 74.4,94.8,305,21.2,105,17.8,238,33,74.4,64,26.67,18.8,1.63,11196.6,736,10.87,724,92,2.8,134.4,110368.2,12.1,0.859
CE 305 x 67,85.2,305,18.1,102,17.8,238,33,67.0,64,26.416,21.4,1.68,10489.0,687,11.07,658,87,2.8,97.4,100432.4,12.4,0.851
CE 305 x 59.5,76.1,305,15.0,99,17.8,238,33,59.5,64,26.416,24.2,1.74,9739.8,639,11.33,591,82,2.8,70.3,90228.1,12.7,0.841
CE 305 x 52.1,66.5,305,11.9,96,17.8,238,33,52.1,64,26.67,27.2,1.79,8990.6,592,11.66,524,76,2.8,51.6,80023.7,13.1,0.832
CE 305 x 46.1,58.8,305,9.4,93,17.8,238,33,46.1,64,27.432,29.7,1.84,8407.9,552,11.96,470,72,2.8,41.6,71699.1,13.5,0.822
CE 305 x 15.8,20.0,305,4.8,38,7.8,38,19,15.8,-,6.8326,7.2,10.20,2301.8,151,10.72,16,5,0.9,2.5,3141.9,10.8,0.983
CE 254 x 61.2,78.1,254,20.2,110,14.6,187,33,61.2,64,27.686,21.9,1.58,6534.8,516,9.17,653,79,2.9,94.1,72236.1,10.8,0.789
CE 254 x 50,63.7,254,14.6,104,14.6,187,33,50.0,64,27.686,26.9,1.67,5785.6,456,9.53,545,71,2.9,49.9,60152.0,11.4,0.769
CE 254 x 42.4,54.0,254,10.8,100,14.6,187,33,42.4,64,28.448,30.7,1.73,5244.5,415,9.88,470,65,2.9,32.9,51827.4,11.9,0.751
