2L 76 x 76 x 8,76.2,76.2,7.94,17.46,18.01,22.9,124.45,22.94,2.33,2.18,3.2,3.53,3.91,4.34,0.83
2L 76 x 76 x 6,76.2,76.2,6.35,15.88,14.54,18.52,102.39,18.68,2.35,2.12,3.18,3.51,3.86,4.34,0.83
2L 76 x 76 x 5,76.2,76.2,4.76,14.29,11.03,14.06,79.08,14.21,2.37,2.06,3.15,3.48,3.84,4.34,0.82
2L 64 x 64 x 13,63.5,63.5,12.7,19.05,22.77,29.03,101.14,23.43,1.87,2.04,2.77,3.12,3.53,3.63,0.85
2L 64 x 64 x 10,63.5,63.5,9.53,15.88,17.56,22.39,80.75,18.35,1.9,1.93,2.72,3.07,3.45,3.61,0.84
2L 64 x 64 x 8,63.5,63.5,7.94,14.29,14.82,18.9,69.51,15.55,1.92,1.87,2.67,3.02,3.4,3.61,0.83
2L 64 x 64 x 6,63.5,63.5,6.35,12.7,12.01,15.29,57.44,12.67,1.94,1.81,2.64,3,3.38,3.61,0.83
2L 64 x 64 x 5,63.5,63.5,4.76,11.11,9.12,11.61,44.54,9.67,1.96,1.74,2.62,2.97,3.33,3.61,0.83
2L 51 x 51 x 10,50.8,50.8,9.53,15.88,13.84,17.61,39.67,11.41,1.5,1.61,2.2,2.57,2.97,2.9,0.85
2L 51 x 51 x 8,50.8,50.8,7.94,14.29,11.74,14.97,34.46,9.75,1.52,1.55,2.17,2.53,2.92,2.9,0.84
2L 51 x 51 x 6,50.8,50.8,6.35,12.7,9.57,12.19,28.76,8.01,1.54,1.49,2.14,2.49,2.9,2.87,0.84
2L 51 x 51 x 5,50.8,50.8,4.76,11.11,7.31,9.29,22.52,6.16,1.55,1.42,2.11,2.46,2.84,2.87,0.83
2L 51 x 51 x 3,50.8,50.8,3.18,9.53,4.97,6.34,15.69,4.21,1.57,1.36,2.08,2.42,2.79,2.87,0.83
2L 203 x 152 x 25,203.2,152.4,25.4,38.1,132.15,168.39,6742.95,494.89,6.32,6.73,6.07,6.4,6.76,10.31,0.72
2L 203 x 152 x 22,203.2,152.4,22.23,34.93,116.82,149.03,6035.36,439.17,6.35,6.6,6.02,6.35,6.68,10.34,0.72
2L 203 x 152 x 19,203.2,152.4,19.05,31.75,101.19,129.03,5286.14,381.82,6.4,6.48,5.97,6.27,6.63,10.34,0.71
2L 203 x 152 x 16,203.2,152.4,15.88,28.58,85.27,108.39,4495.3,322.83,6.45,6.35,5.92,6.22,6.58,10.36,0.71
2L 203 x 152 x 14,203.2,152.4,14.29,26.99,77.09,98.06,4108.2,293.33,6.48,6.3,5.89,6.2,6.55,10.39,0.71
2L 203 x 152 x 13,203.2,152.4,12.7,25.4,68.9,87.74,3696.14,262.19,6.48,6.25,5.87,6.17,6.5,10.39,0.71
2L 203 x 152 x 11,203.2,152.4,11.11,23.81,60.57,77.42,3275.74,231.06,6.5,6.17,5.84,6.15,6.48,10.39,0.71
2L 203 x 102 x 25,203.2,101.6,25.4,38.1,111.91,142.58,5785.62,460.48,6.38,7.7,3.71,4.06,4.45,9.8,0.57
2L 203 x 102 x 22,203.2,101.6,22.23,34.93,99.11,126.45,5202.89,409.68,6.43,7.59,3.66,3.99,4.37,9.83,0.57
2L 203 x 102 x 19,203.2,101.6,19.05,31.75,86.02,109.68,4578.55,355.6,6.48,7.47,3.61,3.94,4.29,9.86,0.56
2L 203 x 102 x 16,203.2,101.6,15.88,28.58,72.47,92.26,3916.74,301.52,6.5,7.34,3.53,3.86,4.22,9.88,0.56
2L 203 x 102 x 14,203.2,101.6,14.29,26.99,65.63,83.87,3567.1,273.66,6.53,7.26,3.51,3.84,4.19,9.91,0.56
2L 203 x 102 x 13,203.2,101.6,12.7,25.4,58.78,74.84,3213.31,245.81,6.55,7.21,3.51,3.81,4.14,9.91,0.56
2L 203 x 102 x 11,203.2,101.6,11.11,23.81,51.79,65.81,2851.19,216.31,6.58,7.14,3.48,3.78,4.11,9.93,0.56
2L 178 x 102 x 19,177.8,101.6,19.05,31.75,77.98,99.35,3146.71,275.3,5.61,6.35,3.76,4.09,4.45,8.66,0.61
2L 178 x 102 x 16,177.8,101.6,15.88,28.58,65.78,83.87,2693.02,232.7,5.66,6.22,3.68,4.01,4.39,8.69,0.61
2L 178 x 102 x 13,177.8,101.6,12.7,25.4,53.28,67.74,2218.51,190.09,5.72,6.1,3.66,3.96,4.32,8.71,0.61
2L 178 x 102 x 11,177.8,101.6,11.11,23.81,46.88,59.81,1968.77,167.15,5.74,6.05,3.63,3.94,4.27,8.71,0.61
2L 178 x 102 x 10,177.8,101.6,9.53,22.23,40.48,51.61,1710.71,144.7,5.77,5.97,3.61,3.91,4.24,8.74,0.61
2L 152 x 102 x 22,152.4,101.6,22.23,34.93,80.81,103.23,2305.92,234.34,4.72,5.38,3.99,4.34,4.72,7.52,0.68
2L 152 x 102 x 19,152.4,101.6,19.05,31.75,70.24,89.68,2035.37,204.84,4.78,5.26,3.94,4.27,4.65,7.54,0.67
2L 152 x 102 x 16,152.4,101.6,15.88,28.58,59.38,75.48,1748.17,173.7,4.8,5.16,3.89,4.22,4.57,7.57,0.67
2L 152 x 102 x 14,152.4,101.6,14.29,26.99,53.72,68.39,1598.33,157.48,4.83,5.08,3.86,4.19,4.55,7.57,0.67
2L 152 x 102 x 13,152.4,101.6,12.7,25.4,48.07,61.29,1444.32,141.42,4.85,5.03,3.84,4.17,4.5,7.59,0.67
2L 152 x 102 x 11,152.4,101.6,11.11,23.81,42.41,53.94,1281.99,124.87,4.88,4.95,3.81,4.11,4.47,7.59,0.66
2L 152 x 102 x 10,152.4,101.6,9.53,22.23,36.61,46.58,1115.5,107.99,4.9,4.9,3.78,4.09,4.45,7.59,0.66
2L 152 x 102 x 8,152.4,101.6,7.94,20.64,30.66,39.03,944.85,90.95,4.93,4.83,3.76,4.06,4.42,7.62,0.66
2L 152 x 89 x 13,152.4,88.9,12.7,25.4,45.69,58.32,1381.89,138.47,4.88,5.26,3.23,3.56,3.91,7.47,0.62
2L 152 x 89 x 10,152.4,88.9,9.53,22.23,34.82,44.39,1069.71,106.02,4.9,5.13,3.2,3.51,3.86,7.49,0.61
2L 152 x 89 x 8,152.4,88.9,7.94,20.64,29.32,37.29,907.38,89.31,4.93,5.08,3.18,3.48,3.81,7.49,0.61
2L 127 x 89 x 19,127,88.9,19.05,30.16,58.93,74.84,1157.12,139.62,3.94,4.42,3.53,3.89,4.27,6.32,0.7
2L 127 x 89 x 16,127,88.9,15.88,26.99,49.85,63.55,998.96,118.97,3.96,4.29,3.48,3.81,4.19,6.32,0.69
2L 127 x 89 x 13,127,88.9,12.7,23.81,40.48,51.68,828.3,97.34,4.01,4.19,3.43,3.76,4.11,6.35,0.69
2L 127 x 89 x 10,127,88.9,9.53,20.64,30.95,39.35,645.16,74.73,4.04,4.06,3.38,3.71,4.04,6.38,0.68
2L 127 x 89 x 8,127,88.9,7.94,19.05,25.89,33.03,549.43,62.93,4.06,3.99,3.35,3.66,4.01,6.38,0.68
2L 127 x 89 x 6,127,88.9,6.35,17.46,20.98,26.65,445.37,50.8,4.09,3.94,3.33,3.63,3.99,6.4,0.68
2L 127 x 76 x 13,127,76.2,12.7,23.81,37.95,48.45,786.68,94.88,4.01,4.42,2.82,3.15,3.53,6.2,0.63
