IR 1000 x 398.8,508.38608,1000,19.1,451,35.9,857,71,40,398.8,139.7,119,0.618,894898,17862,41.9,54943,2442,10.4,19992,3753,1711,127554537,1084,44121,3835,10029
IR 1016 x 392.9,500.64416,1016,24.4,302,43.9,864,74,43,392.9,139.7,76,0.764,807489,15912,40.1,20520,1354,6.4,18517,2163,2335,48604992,735,24516,2982,9095
IR 1001 x 370.6,472.90228,1001,19.1,401,36.1,864,66,40,370.6,139.7,104,0.693,815814,16272,41.4,38543,1934,9.0,18354,2982,1586,89690980,961,34797,3310,9013
IR 992 x 363.1,462.57972,992,18.0,450,32.0,857,67,40,363.1,139.7,118,0.689,799164,16109,41.7,48699,2163,10.3,18026,3327,1265,111979457,1077,38876,3409,9013
IR 1008 x 349.7,445.1604,1008,21.1,302,40.1,864,70,41,349.7,139.7,76,0.835,724243,14339,40.4,18481,1222,6.5,16551,1934,1719,43234275,729,22060,2720,8112
IR 982 x 328.9,418.06368,982,18.0,450,27.1,857,62,40,328.9,139.7,116,0.807,690944,14060,40.6,41124,1835,9.9,15846,2819,882,93719018,1071,32674,2884,7915
IR 991 x 320,409.03144,991,16.5,401,31.0,864,61,40,320.0,139.7,104,0.799,695106,14077,41.1,33132,1655,9.0,15797,2556,1032,76264186,961,29719,2851,7718
IR 1001 x 314,399.9992,1001,19.1,300,36.1,864,66,40,314.0,139.7,76,0.929,645159,12880,40.1,16233,1083,6.4,14847,1721,1265,37595021,723,19480,2425,7243
IR 983 x 296.1,377.4186,983,16.5,401,27.2,864,57,40,296.1,139.7,103,0.909,620185,12618,40.6,28928,1445,8.8,14240,2245,762,66059823,955,25848,2474,6948
IR 970 x 285.7,364.5154,970,18.0,450,21.1,857,57,40,285.7,139.7,113,1.024,561912,11602,39.4,32050,1426,9.4,13224,2212,570,71967612,1065,25307,2245,6620
IR 991 x 272.3,347.09608,991,16.5,300,31.0,864,61,40,272.3,139.7,76,1.067,553588,11192,39.9,13985,932,6.4,12831,1468,832,32224304,716,16733,2114,6243
IR 970 x 258.9,329.67676,970,16.5,400,21.1,868,51,38,258.9,139.7,100,1.150,507802,10471,39.4,22518,1127,8.3,11717,1753,466,50753279,948,20021,1950,5965
IR 980 x 248.5,317.41872,980,16.5,300,25.9,864,56,40,248.5,139.7,74,1.256,482828,9832,38.9,11779,785,6.1,11356,1245,583,26799880,716,13985,1753,5506
IR 970 x 221.7,282.58008,970,16.0,300,21.1,864,51,38,221.7,139.7,72,1.535,407907,8407,38.1,9532,636,5.8,9799,1019,390,21482869,710,11238,1421,4719
IR 1078 x 1262,1606.4484,1078,64.0,461,115.1,791,144,57,1262.0,139.7,123,0.205,2805400,51947,41.7,189385,8210,10.8,62763,13093,52861,435028105,1110,146930,11045,31299
IR 1067 x 1187.6,1516.126,1067,60.5,457,109.0,784,133,60,1187.6,139.7,122,0.213,2605609,48834,41.4,174817,7653,10.7,58666,12176,43704,400118442,1090,136108,10340,29333
IR 1046 x 1071.5,1361.2876,1046,55.0,451,99.1,791,129,52,1071.5,139.7,120,0.232,2301760,44081,41.1,153173,6784,10.6,52275,10750,33465,341040551,1071,119458,9357,26055
IR 1029 x 967.3,1232.2556,1029,50.0,447,89.9,784,114,56,967.3,139.7,119,0.256,2035372,39657,40.6,134443,6014,10.4,46867,9505,24599,295389454,1045,104890,8357,23270
IR 1012 x 875,1109.6752,1012,45.5,442,82.0,791,111,48,875.0,139.7,117,0.280,1810607,35724,40.4,118626,5375,10.3,41787,8472,18855,255109074,1026,93236,7620,20975
IR 996 x 784.3,999.998,996,40.9,437,73.9,784,98,51,784.3,139.7,116,0.307,1594166,31955,39.9,103642,4736,10.2,37363,7440,13611,220199411,1006,81581,6751,18517
IR 984 x 721.8,916.1272,984,38.1,434,68.1,791,97,44,721.8,139.7,115,0.335,1444323,29333,39.6,93652,4310,10.1,33921,6751,10822,195225575,994,73673,6227,17043
