IPR IL,$22.35,$14.90,"IE, IR, TR"
‘ngulos desiguales,$20.70,$13.80,LD
Angulo,$20.25,$13.50,"LI, 2LI"
Canales y Soleras,$19.80,$13.20,CE
Tubo Mec˜nico,$23.70,$15.80,OC
HSS de 10 y 12,$27.00,$18.00,OR
