W 40 x 268,78.8,39.37,0.75,17.75,1.415,33-3/4,2.8125,1.5625,268,05/01/2002,4.67,1.57,21500,1090,16.5,1320,149,4.09,1220,229,41.1,475000,168,1060,234,612
W 40 x 264,77.6,40,0.96,11.9,1.73,34,2.91,1.6875,264,05/01/2002,3.01,1.94,19400,971,15.8,493,82.6,2.52,1130,132,56.1,181000,114,589,182,555
W 40 x 249,73.3,39.4,0.75,15.8,1.42,34,2.6,1.5625,249,05/01/2002,4.1,1.76,19600,993,16.3,926,118,3.55,1120,182,38.1,334000,149,836,202,550
W 40 x 244,71.7,39.06,0.71,17.71,1.26,33-3/4,2.625,1.5625,244,05/01/2002,4.63,1.75,19200,983,16.4,1170,132,4.04,1100,203,30.4,417000,167,934,208,550
W 40 x 235,69,39.7,0.83,11.9,1.58,34,2.76,1.625,235,05/01/2002,3.01,2.12,17400,875,15.9,444,74.6,2.54,1010,118,41.3,161000,113,530,166,495
W 40 x 221,64.8,38.67,0.71,17.71,1.065,33-3/4,2.4375,1.5625,221,05/01/2002,4.56,2.05,16600,858,16,988,112,3.9,967,172,21.2,349000,166,785,176,483
W 40 x 215,63.4,39,0.65,15.8,1.22,34,2.4,1.5625,215,05/01/2002,4.09,2.03,16700,859,16.2,796,101,3.54,964,156,24.8,284000,149,714,174,471
W 40 x 211,62,39.4,0.75,11.8,1.42,34,2.6,1.5625,211,05/01/2002,2.98,2.36,15500,786,15.8,390,66.1,2.51,906,105,30.4,140000,112,468,148,442
W 40 x 199,58.5,38.7,0.65,15.8,1.07,34,2.25,1.5625,199,05/01/2002,4.04,2.31,14900,770,16,695,88.2,3.45,869,137,18.3,246000,148,621,151,424
W 40 x 192,56.5,38.2,0.71,17.71,0.83,33-3/4,2.25,1.5625,192,05/01/2002,4.43,2.6,13500,708,15.5,770,87,3.69,807,135,13.7,268000,165,608,137,404
W 40 x 183,53.8,39,0.65,11.8,1.22,34,2.4,1.5625,183,05/01/2002,2.98,2.71,13300,683,15.7,336,56.9,2.5,783,89.6,20,120000,111,402,129,381
W 40 x 174,51.1,38.2,0.65,15.75,0.83,34-3/16,2,1.5,174,05/01/2002,3.92,2.92,12200,639,15.5,541,68.8,3.26,715,107,11.2,189000,147,481,119,364
W 40 x 167,49.2,38.6,0.65,11.8,1.02,34,2.21,1.5625,167,05/01/2002,2.91,3.19,11600,600,15.3,283,47.9,2.4,693,76,14,99800,111,336,107,336
W 40 x 149,43.8,38.2,0.63,11.8,0.83,34,2.01,1.5,149,05/01/2002,2.84,3.9,9800,513,15,229,38.8,2.29,598,62.2,9.36,80000,110,270,86.7,288
W 36 x 848,249,42.45,2.52,18.13,4.53,31/01/2008,5.6875,2.25,848,05/01/2002,4.84,0.52,67400,3170,16.4,4550,501,4.27,3830,799,1270,1620000,172,3530,674,1910
W 36 x 798,235,42,2.38,18,4.29,30/07/2008,5.24,2.375,798,05/01/2002,4.8,0.54,62600,2980,16.3,4200,467,4.23,3580,743,1050,1490000,169,3270,631,1790
W 36 x 720,211,41.19,2.165,17.775,3.9,31/01/2008,5.0625,2.0625,720,05/01/2002,4.73,0.59,55300,2690,16.2,3680,414,4.18,3190,656,804,1270000,166,2870,571,1590
W 36 x 650,191,40.5,1.97,17.6,3.54,30/07/2008,4.49,2.1875,650,05/01/2002,4.67,0.65,48900,2420,16,3230,367,4.11,2860,580,591,1100000,162,2520,510,1420
W 36 x 588,172,39.84,1.79,17.4,3.23,31/01/2008,4.375,1.875,588,05/01/2002,4.62,0.71,43500,2180,15.9,2850,328,4.07,2550,517,453,950000,159,2240,465,1280
W 36 x 527,155,39.2,1.61,17.2,2.91,30/07/2008,3.86,2,527,05/01/2002,4.57,0.78,38300,1950,15.7,2490,289,4.01,2280,454,327,820000,156,1960,412,1130
W 36 x 485,142,38.74,1.5,17.105,2.68,31/01/2008,3.8125,1.75,485,05/01/2002,4.53,0.85,34700,1790,15.6,2250,263,3.98,2070,412,260,727000,154,1770,380,1040
W 36 x 439,129,38.3,1.36,17,2.44,30/07/2008,3.39,1.875,439,05/01/2002,4.49,0.92,31000,1620,15.5,1990,235,3.93,1870,367,193,638000,152,1570,341,931
W 36 x 393,116,37.8,1.22,16.8,2.2,30/07/2008,3.15,1.8125,393,05/01/2002,4.45,1.02,27500,1450,15.4,1750,208,3.9,1670,325,141,554000,150,1390,306,829
W 36 x 359,105,37.4,1.12,16.7,2.01,30/07/2008,2.96,1.75,359,05/01/2002,4.42,1.11,24800,1320,15.3,1570,188,3.86,1510,292,108,492000,148,1240,278,751
W 36 x 328,96.4,37.1,1.02,16.6,1.85,30/07/2008,2.8,1.75,328,05/01/2002,4.39,1.21,22500,1210,15.3,1420,171,3.84,1380,265,84.1,441000,147,1130,254,684
W 36 x 300,88.3,36.7,0.945,16.7,1.68,30/07/2008,2.63,1.6875,300,05/01/2002,4.39,1.31,20300,1110,15.2,1300,156,3.83,1260,241,64.2,399000,146,1020,231,622
W 36 x 280,82.4,36.5,0.885,16.6,1.57,30/07/2008,2.52,1.625,280,05/01/2002,4.37,1.4,18900,1030,15.1,1200,144,3.81,1170,223,52.6,366000,145,944,216,579
W 36 x 260,76.5,36.3,0.84,16.6,1.44,30/07/2008,2.39,1.625,260,05/01/2002,4.34,1.52,17300,953,15,1090,132,3.78,1080,204,41.5,330000,144,858,197,532
W 36 x 256,75.4,37.4,0.96,12.2,1.73,32-1/8,2.48,1.3125,256,05/01/2002,3.14,1.77,16800,895,14.9,528,86.5,2.65,1040,137,52.9,168000,109,576,174,516
W 36 x 245,72.1,36.1,0.8,16.5,1.35,30/07/2008,2.3,1.625,245,05/01/2002,4.32,1.62,16100,895,15,1010,123,3.75,1010,190,34.6,305000,143,799,184,498
W 36 x 232,68.1,37.1,0.87,12.1,1.57,32-1/8,2.32,1.25,232,05/01/2002,3.11,1.95,15000,809,14.8,468,77.2,2.62,936,122,39.6,148000,108,512,157,464
W 36 x 230,67.6,35.9,0.76,16.5,1.26,30/07/2008,2.21,1.5625,230,05/01/2002,4.3,1.73,15000,837,14.9,940,114,3.73,943,176,28.6,282000,143,740,171,465
W 36 x 210,61.8,36.7,0.83,12.2,1.36,32-1/8,2.11,1.25,210,05/01/2002,3.09,2.21,13200,719,14.6,411,67.5,2.58,833,107,28,128000,108,446,136,412
W 36 x 194,57,36.5,0.765,12.1,1.26,32-1/8,2.01,1.1875,194,05/01/2002,3.07,2.39,12100,664,14.6,375,61.9,2.56,767,97.7,22.2,116000,107,407,126,379
