C 3 x 4.1,1.2,3,0.17,1.41,0.273,1-5/8,0.6875,4.1,---,0.437,0.461,7.78,1.65,1.1,1.17,0.191,0.196,0.398,0.0269,0.307,1.53,0.655
C 3 x 3.5,1.09,3,0.132,1.37,0.273,1-5/8,0.6875,3.5,---,0.443,0.493,8.02,1.57,1.04,1.2,0.169,0.182,0.394,0.0226,0.276,1.57,0.646
MC 18 x 58,17.1,18,0.7,4.2,0.625,15-1/8,1.4375,58,2-1/2,0.862,0.695,6.86,675,75,6.29,17.6,5.28,1.02,2.81,1070,6.55,0.944
MC 18 x 51.9,15.3,18,0.6,4.1,0.625,15-1/8,1.4375,51.9,2-1/2,0.858,0.797,7.02,627,69.6,6.41,16.3,5.02,1.03,2.03,985,6.69,0.939
MC 18 x 45.8,13.5,18,0.5,4,0.625,15-1/8,1.4375,45.8,2-1/2,0.866,0.909,7.2,578,64.2,6.55,14.9,4.77,1.05,1.45,897,6.86,0.933
MC 18 x 42.7,12.6,18,0.45,3.95,0.625,15-1/8,1.4375,42.7,2-1/2,0.877,0.969,7.29,554,61.5,6.64,14.3,4.64,1.07,1.23,852,6.96,0.93
MC 13 x 50,14.7,13,0.787,4.41,0.61,10-1/8,1.4375,50,2-1/2,0.974,0.815,4.83,314,48.3,4.62,16.4,4.77,1.06,2.96,558,5.07,0.875
MC 13 x 40,11.8,13,0.56,4.18,0.61,10-1/8,1.4375,40,2-1/2,0.963,1.03,5.09,273,41.9,4.82,13.7,4.24,1.08,1.55,462,5.32,0.859
MC 13 x 35,10.3,13,0.447,4.07,0.61,10-1/8,1.4375,35,2-1/2,0.98,1.16,5.23,252,38.8,4.95,12.3,3.97,1.09,1.13,412,5.5,0.849
MC 13 x 31.8,9.35,13,0.375,4,0.61,10-1/8,1.4375,31.8,2-1/2,1,1.24,5.33,239,36.7,5.05,11.4,3.79,1.1,0.937,380,5.64,0.842
MC 12 x 50,14.7,12,0.835,4.14,0.7,9-3/8,1.3125,50,2-1/2,1.05,0.741,4.15,269,44.9,4.28,17.4,5.64,1.09,3.23,411,4.76,0.859
