L 6 x 3 1/2 x 3/8,6,3.5,0.375,0.875,11.7,3.44,12.9,3.23,1.93,2.02,3.33,1.22,0.984,0.781,0.763,0.349,0.168,0.341,2.9,--
L 6 x 3 1/2 x 5/16,6,3.5,0.3125,0.8125,9.83,2.89,10.9,2.72,1.94,2,2.84,1.03,0.991,0.756,0.767,0.352,0.099,0.201,2.92,--
L 5 x 3 1/2 x 3/4,5,3.5,0.75,1.1875,19.8,5.82,13.9,4.26,1.55,1.74,5.52,2.2,0.974,0.993,0.744,0.464,1.09,1.52,2.36,--
L 5 x 3 1/2 x 5/8,5,3.5,0.625,1.0625,16.8,4.93,12,3.63,1.56,1.69,4.8,1.88,0.987,0.947,0.746,0.472,0.651,0.918,2.39,--
L 5 x 3 1/2 x 1/2,5,3.5,0.5,0.9375,13.6,4,9.96,2.97,1.58,1.65,4.02,1.55,1,0.901,0.75,0.479,0.343,0.491,2.42,--
L 5 x 3 1/2 x 7/16,5,3.5,0.4375,0.9375,12,3.53,8.9,2.64,1.59,1.63,3.63,1.39,1.01,0.883,0.758,0.482,0.238,0.33642,2.45,--
L 5 x 3 1/2 x 3/8,5,3.5,0.375,0.8125,10.4,3.05,7.75,2.28,1.59,1.6,3.15,1.19,1.02,0.854,0.755,0.486,0.15,0.217,2.45,--
L 5 x 3 1/2 x 5/16,5,3.5,0.3125,0.75,8.72,2.56,6.58,1.92,1.6,1.57,2.69,1.01,1.02,0.829,0.758,0.489,0.0883,0.128,2.46,--
L 5 x 3 1/2 x 1/4,5,3.5,0.25,0.6875,7.03,2.07,5.36,1.55,1.61,1.55,2.2,0.816,1.03,0.804,0.761,0.491,0.0464,0.067,2.48,--
L 5 x 3 x 5/8,5,3,0.625,1,15.7,4.61,11.4,3.55,1.57,1.8,3.06,1.39,0.815,0.796,0.644,0.349,0.61,0.83013,2.36,--
L 5 x 3 x 1/2,5,3,0.5,0.9375,12.8,3.75,9.43,2.89,1.58,1.74,2.55,1.13,0.824,0.746,0.642,0.357,0.322,0.444,2.38,--
L 5 x 3 x 7/16,5,3,0.4375,0.875,11.3,3.31,8.41,2.56,1.59,1.72,2.29,1,0.831,0.722,0.644,0.361,0.22,0.304,2.4,--
L 5 x 3 x 3/8,5,3,0.375,0.8125,9.74,2.86,7.35,2.22,1.6,1.69,2.01,0.874,0.838,0.698,0.646,0.364,0.141,0.196,2.41,--
L 5 x 3 x 5/16,5,3,0.3125,0.75,8.19,2.41,6.24,1.87,1.61,1.67,1.72,0.739,0.846,0.673,0.649,0.368,0.0832,0.116,2.42,--
L 5 x 3 x 1/4,5,3,0.25,0.6875,6.6,1.94,5.09,1.51,1.62,1.64,1.41,0.6,0.853,0.648,0.652,0.371,0.0438,0.0606,2.43,--
L 4 x 3 1/2 x 1/2,4,3.5,0.5,0.875,11.9,3.5,5.3,1.92,1.23,1.24,3.76,1.5,1.04,0.994,0.716,0.75,0.301,0.302,2.03,--
L 4 x 3 1/2 x 7/16,4,3.5,0.4375,0.875,10.6,3.09,4.76,1.72,1.24,1.23,3.4,1.35,1.05,0.978,0.724,0.753,0.206,0.20794,2.06,--
L 4 x 3 1/2 x 3/8,4,3.5,0.375,0.75,9.1,2.68,4.15,1.48,1.25,1.2,2.96,1.16,1.05,0.947,0.719,0.755,0.132,0.134,2.06,--
L 4 x 3 1/2 x 5/16,4,3.5,0.3125,0.6875,7.65,2.25,3.53,1.25,1.25,1.17,2.52,0.98,1.06,0.923,0.721,0.757,0.0782,0.0798,2.08,--
L 4 x 3 1/2 x 1/4,4,3.5,0.25,0.625,6.18,1.82,2.89,1.01,1.26,1.14,2.07,0.794,1.07,0.897,0.723,0.759,0.0412,0.0419,2.08,--
L 4 x 3 x 5/8,4,3,0.625,1,13.6,3.99,6.01,2.28,1.23,1.37,2.85,1.34,0.845,0.867,0.631,0.534,0.529,0.472,1.91,--
L 4 x 3 x 1/2,4,3,0.5,0.875,11.1,3.25,5.02,1.87,1.24,1.32,2.4,1.1,0.858,0.822,0.633,0.543,0.281,0.255,1.94,--
L 4 x 3 x 7/16,4,3,0.4375,0.875,9.8,2.87,4.52,1.68,1.25,1.3,2.18,0.992,0.871,0.804,0.641,0.547,0.192,0.176,1.96,--
L 4 x 3 x 3/8,4,3,0.375,0.75,8.47,2.49,3.94,1.44,1.26,1.27,1.89,0.851,0.873,0.775,0.636,0.551,0.123,0.114,1.97,--
L 4 x 3 x 5/16,4,3,0.3125,0.6875,7.12,2.09,3.36,1.22,1.27,1.25,1.62,0.721,0.88,0.75,0.638,0.554,0.0731,0.0676,1.98,--
L 4 x 3 x 1/4,4,3,0.25,0.625,5.75,1.69,2.75,0.988,1.27,1.22,1.33,0.585,0.887,0.725,0.639,0.558,0.0386,0.0356,1.99,--
L 3 1/2 x 3 x 1/2,3.5,3,0.5,0.875,10.3,3.02,3.45,1.45,1.07,1.12,2.32,1.09,0.877,0.869,0.618,0.713,0.26,0.191,1.75,--
L 3 1/2 x 3 x 7/16,3.5,3,0.4375,0.8125,9.09,2.67,3.1,1.29,1.08,1.09,2.09,0.971,0.885,0.846,0.62,0.717,0.178,0.132,1.76,--
L 3 1/2 x 3 x 3/8,3.5,3,0.375,0.75,7.88,2.32,2.73,1.12,1.09,1.07,1.84,0.847,0.892,0.823,0.622,0.72,0.114,0.0858,1.78,--
L 3 1/2 x 3 x 5/16,3.5,3,0.3125,0.6875,6.65,1.95,2.33,0.951,1.09,1.05,1.58,0.718,0.9,0.798,0.624,0.722,0.068,0.0512,1.79,--
L 3 1/2 x 3 x 1/4,3.5,3,0.25,0.625,5.38,1.58,1.92,0.773,1.1,1.02,1.3,0.585,0.908,0.773,0.628,0.725,0.036,0.027,1.81,--
L 3 1/2 x 2 1/2 x 1/2,3.5,2.5,0.5,0.875,9.41,2.76,3.24,1.41,1.08,1.2,1.36,0.756,0.701,0.701,0.532,0.485,0.234,0.159,1.67,--
L 3 1/2 x 2 1/2 x 7/16,3.5,2.5,0.4375,0.875,8.3,2.43,2.91,1.26,1.09,1.18,1.23,0.677,0.711,0.682,0.535,0.491,0.16,0.10979,1.68,--
L 3 1/2 x 2 1/2 x 3/8,3.5,2.5,0.375,0.75,7.23,2.12,2.56,1.09,1.1,1.15,1.09,0.589,0.716,0.655,0.535,0.495,0.103,0.0714,1.69,--
