L 3 1/2 x 3 1/2 x 7/16,3.5,3.5,0.4375,0.8125,9.82,2.89,3.25,1.32,1.06,1.03,3.25,1.32,1.06,1.03,0.681,1,0.192,0.164,1.89,0.631
L 3 1/2 x 3 1/2 x 3/8,3.5,3.5,0.375,0.75,8.51,2.5,2.86,1.15,1.07,1,2.86,1.15,1.07,1,0.683,1,0.123,0.106,1.9,0.634
L 3 1/2 x 3 1/2 x 5/16,3.5,3.5,0.3125,0.6875,7.16,2.1,2.44,0.969,1.08,0.979,2.44,0.969,1.08,0.979,0.685,1,0.0731,0.0634,1.92,0.632
L 3 1/2 x 3 1/2 x 1/4,3.5,3.5,0.25,0.625,5.79,1.7,2,0.787,1.09,0.954,2,0.787,1.09,0.954,0.688,1,0.0386,0.0334,1.93,0.632
L 3 x 3 x 1/2,3,3,0.5,0.875,9.35,2.75,2.2,1.06,0.895,0.929,2.2,1.06,0.895,0.929,0.58,1,0.23,0.144,1.59,0.635
L 3 x 3 x 7/16,3,3,0.4375,0.8125,8.28,2.43,1.98,0.946,0.903,0.907,1.98,0.946,0.903,0.907,0.58,1,0.157,0.1,1.61,0.632
L 3 x 3 x 3/8,3,3,0.375,0.75,7.17,2.11,1.75,0.825,0.91,0.884,1.75,0.825,0.91,0.884,0.581,1,0.101,0.0652,1.62,0.63
L 3 x 3 x 5/16,3,3,0.3125,0.6875,6.04,1.78,1.5,0.699,0.918,0.86,1.5,0.699,0.918,0.86,0.583,1,0.0597,0.039,1.63,0.629
L 3 x 3 x 1/4,3,3,0.25,0.625,4.89,1.44,1.23,0.569,0.926,0.836,1.23,0.569,0.926,0.836,0.585,1,0.0313,0.0206,1.65,0.628
L 3 x 3 x 3/16,3,3,0.1875,0.5625,3.7,1.09,0.948,0.433,0.933,0.812,0.948,0.433,0.933,0.812,0.586,1,0.0136,0.009,1.66,0.627
L 2 1/2 x 2 1/2 x 1/2,2.5,2.5,0.5,0.75,7.65,2.25,1.22,0.716,0.735,0.803,1.22,0.716,0.735,0.803,0.481,1,0.188,0.0791,1.3,0.639
L 2 1/2 x 2 1/2 x 3/8,2.5,2.5,0.375,0.625,5.9,1.73,0.972,0.558,0.749,0.758,0.972,0.558,0.749,0.758,0.481,1,0.0833,0.0362,1.33,0.633
L 2 1/2 x 2 1/2 x 5/16,2.5,2.5,0.3125,0.5625,4.98,1.46,0.837,0.474,0.756,0.735,0.837,0.474,0.756,0.735,0.481,1,0.0495,0.0218,1.35,0.632
L 2 1/2 x 2 1/2 x 1/4,2.5,2.5,0.25,0.5,4.04,1.19,0.692,0.387,0.764,0.711,0.692,0.387,0.764,0.711,0.482,1,0.0261,0.0116,1.36,0.629
