HSS 3.500 x 0.313  ,3.5,2.918,0.291,10.7,2.93,3.8,2.18,1.14,7.6
HSS 3.500 x 0.300  ,3.5,2.94,0.28,10.3,2.83,3.7,2.11,1.14,7.4
HSS 3.500 x 0.250  ,3.5,3.034,0.233,8.69,2.39,3.2,1.83,1.16,6.4
HSS 3.500 x 0.216  ,3.5,3.098,0.201,7.58,2.08,2.8,1.63,1.17,5.7
HSS 3.500 x 0.203  ,3.5,3.122,0.189,7.15,1.97,2.7,1.54,1.17,5.4
HSS 3.500 x 0.188  ,3.5,3.152,0.174,6.66,1.82,2.5,1.44,1.18,5.0
HSS 3.500 x 0.125  ,3.5,3.268,0.116,4.51,1.23,1.8,1.01,1.2,3.5
HSS 3.000 x 0.300  ,3,2.44,0.28,8.66,2.39,2.2,1.49,0.967,4.5
HSS 3.000 x 0.250  ,3,2.534,0.233,7.35,2.03,2.0,1.3,0.982,3.9
HSS 3.000 x 0.216  ,3,2.598,0.201,6.43,1.77,1.7,1.16,0.992,3.5
HSS 3.000 x 0.203  ,3,2.622,0.189,6.07,1.67,1.7,1.1,0.996,3.3
HSS 3.000 x 0.188  ,3,2.652,0.174,5.65,1.54,1.6,1.03,1,3.1
HSS 3.000 x 0.152  ,3,2.716,0.142,4.63,1.27,1.3,0.87,1.01,2.6
HSS 3.000 x 0.134  ,3,2.75,0.125,4.11,1.13,1.2,0.779,1.02,2.3
HSS 3.000 x 0.120  ,3,2.776,0.112,3.69,1.02,1.1,0.707,1.02,2.1
HSS 2.875 x 0.250  ,2.875,2.409,0.233,7.02,1.93,1.7,1.18,0.938,3.4
HSS 2.875 x 0.203  ,2.875,2.497,0.189,5.8,1.59,1.5,1.01,0.952,2.9
HSS 2.875 x 0.188  ,2.875,2.527,0.174,5.4,1.48,1.4,0.941,0.957,2.7
HSS 2.875 x 0.125  ,2.875,2.643,0.116,3.67,1.01,1.0,0.667,0.976,1.9
HSS 2.500 x 0.250  ,2.5,2.034,0.233,6.01,1.66,1.1,0.862,0.806,2.2
HSS 2.500 x 0.188  ,2.5,2.152,0.174,4.65,1.27,0.9,0.692,0.825,1.7
HSS 2.500 x 0.125  ,2.5,2.268,0.116,3.17,0.869,0.6,0.495,0.844,1.2
HSS 2.375 x 0.250  ,2.375,1.909,0.233,5.68,1.57,0.9,0.766,0.762,1.8
HSS 2.375 x 0.218  ,2.375,1.967,0.204,5.03,1.39,0.8,0.696,0.771,1.7
HSS 2.375 x 0.188  ,2.375,2.027,0.174,4.4,1.2,0.7,0.617,0.781,1.5
HSS 2.375 x 0.154  ,2.375,2.089,0.143,3.66,1,0.6,0.528,0.791,1.3
