OR 254 x 254 x 9,254,254,8.9,71.13,85.16,8407.9,662.0,9.96,8407.9,662.0,9.96,773.5,773.5,13319.4
OR 254 x 254 x 7,254,254,7.4,59.97,71.61,7159.2,565.4,10.01,7159.2,565.4,10.01,657.1,657.1,11279.9
OR 254 x 254 x 6,254,254,5.9,48.51,57.81,5868.9,463.8,10.08,5868.9,463.8,10.08,535.9,535.9,9157.1
OR 254 x 254 x 4,254,254,4.4,36.76,43.61,4495.3,354.0,10.16,4495.3,354.0,10.16,406.4,406.4,6951.1
OR 203 x 203 x 15,203,203,14.8,87.95,105.81,6077.0,598.1,7.59,6077.0,598.1,7.59,732.5,732.5,10156.0
OR 203 x 203 x 12,203,203,11.8,72.47,87.10,5202.9,511.3,7.72,5202.9,511.3,7.72,614.5,614.5,8491.1
OR 203 x 203 x 9,203,203,8.9,55.95,67.10,4145.7,408.0,7.87,4145.7,408.0,7.87,481.8,481.8,6659.7
OR 203 x 203 x 7,203,203,7.4,47.32,56.52,3562.9,350.7,7.95,3562.9,350.7,7.95,411.3,411.3,5660.7
OR 203 x 203 x 6,203,203,5.9,38.39,45.81,2942.8,290.1,8.00,2942.8,290.1,8.00,335.9,335.9,4620.2
OR 203 x 203 x 4,203,203,4.4,29.17,34.65,2264.3,222.9,8.08,2264.3,222.9,8.08,257.3,257.3,3517.2
OR 178 x 178 x 15,178,178,14.8,75.30,90.32,3887.6,437.5,6.55,3887.6,437.5,6.55,542.4,542.4,6576.5
OR 178 x 178 x 12,178,178,11.8,62.35,74.84,3350.7,376.9,6.68,3350.7,376.9,6.68,457.2,457.2,5535.9
OR 178 x 178 x 9,178,178,8.9,48.37,57.87,2705.5,304.8,6.83,2705.5,304.8,6.83,362.2,362.2,4370.4
OR 178 x 178 x 7,178,178,7.4,40.92,48.97,2335.1,262.2,6.91,2335.1,262.2,6.91,309.7,309.7,3733.6
OR 178 x 178 x 6,178,178,5.9,33.33,39.81,1935.5,217.9,6.99,1935.5,217.9,6.99,254.0,254.0,3059.3
OR 178 x 178 x 4,178,178,4.4,25.45,30.13,1498.4,168.8,7.04,1498.4,168.8,7.04,195.0,195.0,2335.1
OR 152 x 152 x 15,152,152,14.8,62.65,75.48,2297.6,301.5,5.51,2297.6,301.5,5.51,380.2,380.2,3950.0
OR 152 x 152 x 12,152,152,11.8,52.23,62.84,2010.4,263.8,5.66,2010.4,263.8,5.66,324.5,324.5,3375.6
OR 152 x 152 x 9,152,152,8.9,40.78,48.90,1644.1,216.3,5.79,1644.1,216.3,5.79,258.9,258.9,2688.9
OR 152 x 152 x 7,152,152,7.4,34.67,41.48,1427.7,186.8,5.87,1427.7,186.8,5.87,222.9,222.9,2305.9
OR 152 x 152 x 6,152,152,5.9,28.28,33.81,1190.4,156.3,5.94,1190.4,156.3,5.94,183.5,183.5,1898.0
OR 152 x 152 x 4,152,152,4.4,21.58,25.68,928.2,121.6,6.02,928.2,121.6,6.02,141.4,141.4,1456.8
OR 152 x 152 x 3,152,152,2.9,14.66,17.42,645.2,84.4,6.07,645.2,84.4,6.07,97.0,97.0,994.8
OR 140 x 140 x 9,140,140,8.9,37.06,44.39,1236.2,177.0,5.28,1236.2,177.0,5.28,214.7,214.7,2039.5
OR 140 x 140 x 7,140,140,7.4,31.55,37.74,1078.0,154.5,5.36,1078.0,154.5,5.36,185.2,185.2,1756.5
OR 140 x 140 x 6,140,140,5.9,25.75,30.77,903.2,129.5,5.41,903.2,129.5,5.41,152.7,152.7,1448.5
OR 140 x 140 x 4,140,140,4.4,19.64,23.42,707.6,101.1,5.49,707.6,101.1,5.49,117.8,117.8,1111.3
OR 140 x 140 x 3,140,140,2.9,13.39,15.87,491.2,70.5,5.56,491.2,70.5,5.56,81.1,81.1,761.7
OR 127 x 127 x 12,127,127,11.8,42.11,50.84,1082.2,170.4,4.62,1082.2,170.4,4.62,214.7,214.7,1856.4
OR 127 x 127 x 9,127,127,8.9,33.19,39.87,903.2,142.2,4.75,903.2,142.2,4.75,173.7,173.7,1502.6
OR 127 x 127 x 7,127,127,7.4,28.28,33.94,790.8,124.9,4.83,790.8,124.9,4.83,150.1,150.1,1298.6
OR 127 x 127 x 6,127,127,5.9,23.22,27.74,666.0,105.0,4.90,666.0,105.0,4.90,124.7,124.7,1073.9
OR 127 x 127 x 4,127,127,4.4,17.86,21.16,524.5,82.4,4.98,524.5,82.4,4.98,96.5,96.5,828.3
OR 127 x 127 x 3,127,127,2.9,12.13,14.39,366.3,57.7,5.05,366.3,57.7,5.05,66.7,66.7,570.2
OR 114 x 114 x 12,114,114,11.8,37.06,44.84,753.4,131.6,4.09,753.4,131.6,4.09,167.1,167.1,1302.8
OR 114 x 114 x 9,114,114,8.9,29.32,35.35,636.8,111.3,4.24,636.8,111.3,4.24,137.0,137.0,1069.7
OR 114 x 114 x 7,114,114,7.4,25.15,30.19,561.9,98.3,4.32,561.9,98.3,4.32,119.1,119.1,928.2
OR 114 x 114 x 6,114,114,5.9,20.69,24.77,474.5,83.2,4.39,474.5,83.2,4.39,99.3,99.3,770.0
OR 114 x 114 x 4,114,114,4.4,15.92,18.90,375.4,65.7,4.45,375.4,65.7,4.45,77.2,77.2,599.4
OR 114 x 114 x 3,114,114,2.9,10.86,12.90,264.3,46.2,4.52,264.3,46.2,4.52,53.6,53.6,412.9
OR 102 x 102 x 12,102,102,11.8,32.00,38.84,495.3,97.8,3.58,495.3,97.8,3.58,126.2,126.2,874.1
OR 102 x 102 x 9,102,102,8.9,25.60,30.84,428.7,84.1,3.73,428.7,84.1,3.73,104.7,104.7,728.4
OR 102 x 102 x 7,102,102,7.4,22.02,26.45,380.4,74.9,3.78,380.4,74.9,3.78,91.6,91.6,636.8
OR 102 x 102 x 6,102,102,5.9,18.16,21.74,324.7,63.9,3.86,324.7,63.9,3.86,76.9,76.9,532.8
OR 102 x 102 x 4,102,102,4.4,13.99,16.65,258.5,50.8,3.94,258.5,50.8,3.94,60.1,60.1,414.6
OR 102 x 102 x 3,102,102,2.9,9.60,11.42,183.1,36.1,4.01,183.1,36.1,4.01,42.0,42.0,287.6
OR 89 x 89 x 9,89,89,8.9,21.73,26.39,270.1,60.8,3.20,270.1,60.8,3.20,76.9,76.9,466.2
OR 89 x 89 x 7,89,89,7.4,18.90,22.71,243.1,54.7,3.28,243.1,54.7,3.28,67.8,67.8,411.7
OR 89 x 89 x 6,89,89,5.9,15.63,18.77,209.8,47.2,3.35,209.8,47.2,3.35,57.4,57.4,347.6
OR 89 x 89 x 4,89,89,4.4,12.10,14.45,168.6,37.9,3.43,168.6,37.9,3.43,45.2,45.2,273.0
OR 89 x 89 x 3,89,89,2.9,8.33,9.94,120.7,27.2,3.48,120.7,27.2,3.48,31.6,31.6,190.6
OR 76 x 76 x 9,76,76,8.9,18.01,21.87,157.3,41.3,2.69,157.3,41.3,2.69,53.3,53.3,276.4
OR 76 x 76 x 7,76,76,7.4,15.63,18.97,143.6,37.7,2.74,143.6,37.7,2.74,47.5,47.5,247.2
OR 76 x 76 x 6,76,76,5.9,13.07,15.74,125.7,32.9,2.82,125.7,32.9,2.82,40.6,40.6,211.4
OR 76 x 76 x 4,76,76,4.4,10.19,12.19,102.4,26.9,2.90,102.4,26.9,2.90,32.3,32.3,167.7
OR 76 x 76 x 3,76,76,2.9,7.07,8.39,74.1,19.5,2.97,74.1,19.5,2.97,22.9,22.9,118.2
OR 64 x 64 x 7,64,64,7.4,12.50,15.16,75.8,23.9,2.24,75.8,23.9,2.24,30.8,30.8,133.2
OR 64 x 64 x 6,64,64,5.9,10.54,12.71,67.8,21.3,2.31,67.8,21.3,2.31,26.7,26.7,116.1
OR 64 x 64 x 4,64,64,4.4,8.29,9.94,56.2,17.7,2.38,56.2,17.7,2.38,21.6,21.6,93.7
OR 64 x 64 x 3,64,64,2.9,5.80,6.90,41.5,13.1,2.45,41.5,13.1,2.45,15.5,15.5,67.0
OR 57 x 57 x 6,57,57,5.9,9.27,11.23,47.0,16.6,2.05,47.0,16.6,2.05,21.0,21.0,81.6
OR 57 x 57 x 4,57,57,4.4,7.35,8.84,39.7,13.9,2.12,39.7,13.9,2.12,17.0,17.0,66.6
OR 57 x 57 x 3,57,57,2.9,5.16,6.17,29.6,10.4,2.19,29.6,10.4,2.19,12.4,12.4,47.9
OR 51 x 51 x 6,51,51,5.9,8.01,9.74,31.1,12.2,1.79,31.1,12.2,1.79,15.8,15.8,54.5
OR 51 x 51 x 4,51,51,4.4,6.40,7.68,26.7,10.5,1.86,26.7,10.5,1.86,13.1,13.1,45.4
OR 51 x 51 x 3,51,51,2.9,4.52,5.42,20.2,8.0,1.93,20.2,8.0,1.93,9.6,9.6,33.1
OR 44 x 44 x 4,44,44,4.4,5.45,6.58,16.9,7.6,1.60,16.9,7.6,1.60,9.6,9.6,29.1
OR 41 x 41 x 4,41,41,4.4,4.97,6.01,13.0,6.3,1.47,13.0,6.3,1.47,8.0,8.0,22.6
OR 41 x 41 x 3,41,41,2.9,3.59,4.30,10.2,5.0,1.54,10.2,5.0,1.54,6.1,6.1,17.1
OR 38 x 38 x 4,38,38,4.4,4.49,5.45,9.8,5.2,1.34,9.8,5.2,1.34,6.7,6.7,17.2
OR 38 x 38 x 3,38,38,2.9,3.26,3.92,7.8,4.1,1.41,7.8,4.1,1.41,5.1,5.1,13.2
