TR 447 x 236.6,302,447,26,406,48,68,237,48283,1406,13,10,26847,1322,9,1752,89960,18,1
TR 442 x 216.5,276,442,24,404,44,64,217,44121,1283,13,10,24183,1198,9,1353,68745,18,1
TR 439 x 195.7,250,439,22,401,40,60,196,39251,1150,13,10,21519,1073,9,1011,50485,17,1
TR 434 x 179.3,229,434,21,404,36,56,179,36295,1078,13,10,19396,964,9,749,39206,18,1
TR 432 x 164.4,210,432,20,401,32,52,164,33257,996,13,10,17482,872,9,579,30345,18,1
TR 427 x 149.6,191,427,18,399,29,49,150,30177,909,13,10,15609,780,9,433,22799,17,1
TR 429 x 125.7,160,429,17,292,31,49,126,27013,837,13,11,6452,442,6,367,14877,17,1
TR 424 x 113.1,145,424,16,295,27,45,113,24641,777,13,11,5661,387,6,256,11547,17,1
TR 424 x 104.9,134,424,15,292,24,42,105,22976,733,13,11,5120,349,6,201,9506,17,1
TR 419 x 96.7,124,419,15,292,22,40,97,21353,690,13,11,4537,310,6,153,7868,18,1
TR 417 x 87.8,112,417,14,292,19,37,88,19521,642,13,11,3892,267,6,110,6284,18,1
TR 434 x 354.9,452,434,41,403,75,95,355,64516,1983,12,11,41082,2032,10,6285,314187,17,1
TR 422 x 290.9,372,422,35,396,62,82,291,50780,1588,12,10,32216,1626,9,3592,170789,17,1
TR 417 x 265.6,339,417,31,394,57,77,266,45369,1429,12,10,28845,1468,9,2772,128360,16,1
TR 411 x 242.6,309,411,29,391,52,72,243,40832,1291,11,10,25890,1327,9,2131,96941,16,1
TR 406 x 217.3,277,406,26,389,47,67,217,35838,1141,11,9,22851,1178,9,1561,69014,16,1
TR 401 x 194.2,248,401,24,386,42,62,194,31842,1023,11,9,19979,1037,9,1120,49411,16,1
TR 399 x 174.9,223,399,21,384,38,58,175,28054,903,11,9,17773,931,9,837,35715,16,1
TR 394 x 157,201,394,20,384,34,53,157,25390,828,11,9,15734,821,9,587,25887,16,1
TR 389 x 142.1,181,389,18,381,30,50,142,22851,749,11,8,13985,733,9,437,19120,16,1
TR 386 x 128.7,165,386,17,381,27,47,129,20687,683,11,8,12445,654,9,324,14232,16,1
TR 389 x 110.1,140,389,17,267,30,46,110,19396,665,12,10,4745,356,6,301,10097,16,1
TR 386 x 98.2,125,386,16,267,25,42,98,17523,613,12,10,4079,305,6,202,7653,16,1
TR 384 x 92.3,117,384,15,267,24,40,92,16483,578,12,10,3763,282,6,166,6418,16,1
TR 381 x 86.3,110,381,14,267,22,38,86,15525,552,12,10,3417,256,6,134,5505,16,1
TR 378 x 80.4,103,378,14,267,19,36,80,14526,524,12,10,3038,228,5,104,4646,16,1
TR 376 x 73.7,94,376,13,267,17,34,74,13403,492,12,10,2660,200,5,78,3840,16,1
TR 376 x 67,85,376,12,264,15,32,67,12071,444,12,10,2385,180,5,59,2820,16,1
TR 414 x 401.1,512,414,50,389,90,110,401,63683,2098,11,11,44121,2261,9,10281,467252,16,1
TR 399 x 333.3,423,399,42,379,76,94,333,49532,1671,11,10,34797,1835,9,6077,262360,16,1
TR 386 x 273.8,350,386,35,373,63,83,274,39084,1339,11,9,27263,1463,9,3517,142861,15,1
TR 381 x 250,319,381,32,371,58,78,250,34922,1203,10,9,24433,1324,9,2722,107683,15,1
TR 376 x 228.4,292,376,29,366,53,73,228,31342,1088,10,9,21935,1195,9,2102,81635,15,1
TR 371 x 209.1,267,371,27,366,49,69,209,28179,982,10,9,19854,1088,9,1648,62300,15,1
TR 368 x 192,245,368,25,363,45,65,192,25515,896,10,8,17898,987,9,1278,47799,15,1
TR 363 x 174.9,224,363,23,361,41,61,175,23142,819,10,8,15983,888,8,974,36252,15,1
TR 361 x 161.5,206,361,21,358,38,58,161,20895,741,10,8,14651,818,8,783,28196,14,1
TR 358 x 144.4,185,358,19,356,34,54,144,18481,660,10,8,12862,723,8,562,19952,14,1
TR 353 x 132.4,169,353,18,358,30,50,132,17232,626,10,8,11571,646,8,416,15495,14,1
TR 351 x 119.8,154,351,17,356,27,47,120,15484,564,10,8,10323,580,8,313,11466,14,1
TR 348 x 108.6,139,348,15,356,25,45,109,13985,511,10,7,9240,519,8,234,8513,14,1
TR 351 x 96,122,351,15,254,28,43,96,13444,508,10,9,3838,302,6,231,6445,14,1
TR 345 x 84.8,108,345,14,257,24,39,85,12029,464,11,9,3301,259,6,152,4699,14,1
TR 343 x 75.9,97,343,13,254,21,36,76,10739,415,11,9,2897,228,5,109,3384,14,1
TR 343 x 69.9,89,343,12,254,19,34,70,9948,390,11,9,2581,203,5,84,2739,14,1
TR 340 x 62.5,80,340,12,253,16,31,63,8991,359,11,9,2198,174,5,58,2092,14,1
TR 356 x 275.3,351,356,39,348,69,82,275,32424,1224,10,9,24183,1395,8,4162,148500,14,1
TR 377 x 366.1,465,377,50,359,90,110,366,47034,1721,10,10,34839,1950,9,9282,359838,15,1
TR 362 x 303.6,384,362,42,351,76,95,304,36379,1362,10,9,27430,1565,8,5536,200865,14,1
TR 351 x 249.3,317,351,35,343,63,76,249,28553,1086,9,9,21353,1244,8,3147,108757,14,1
TR 345 x 227.7,290,345,32,340,58,71,228,25432,973,9,8,19147,1124,8,2431,81903,14,1
TR 340 x 207.6,265,340,29,338,53,66,208,22726,878,9,8,17149,1014,8,1877,61763,13,1
TR 335 x 186,237,335,26,335,48,61,186,19896,773,9,8,15068,900,8,1382,44308,13,1
TR 330 x 170.4,217,330,24,333,44,57,170,17940,703,9,8,13569,814,8,1061,33567,13,1
TR 328 x 154,196,328,22,330,40,53,154,15900,628,9,7,12029,728,8,795,24517,13,1
TR 323 x 142.9,181,323,21,330,37,50,143,14568,577,9,7,11030,670,8,637,19469,13,1
TR 320 x 131,166,320,19,328,34,47,131,13278,528,9,7,9990,610,8,495,14984,13,1
TR 318 x 120.5,154,318,18,330,31,44,121,12196,490,9,7,9199,560,8,384,11762,13,1
TR 315 x 108.6,139,315,17,328,28,40,109,10989,446,9,7,8117,497,8,279,8566,13,1
TR 310 x 97.5,125,310,15,328,24,37,97,9906,406,9,7,7076,434,8,197,6203,13,1
TR 307 x 87.1,111,307,14,325,22,34,87,8824,365,9,7,6202,380,7,139,4404,13,1
