LI 127 x 89 x 19,127,89,19.1,30,29.5,37.5,579,69.8,3.94,4.42,229.8,36.1,2.47,2.52,1.89,0.464,45.4,408.2,5.99,---
LI 127 x 89 x 16,127,89,15.9,27,25.0,31.8,499,59.5,3.96,4.29,199.8,30.8,2.51,2.41,1.89,0.472,27.1,246.5,6.07,---
LI 127 x 89 x 13,127,89,12.7,24,20.2,25.8,415,48.7,4.01,4.19,167.3,25.4,2.54,2.29,1.91,0.479,14.3,131.9,6.15,---
LI 127 x 89 x 11,127,89,11.1,24,17.9,22.8,370,43.3,4.04,4.14,151.1,22.8,2.57,2.24,1.93,0.482,9.9,90.3,6.22,---
LI 127 x 89 x 10,127,89,9.5,21,15.5,19.7,323,37.4,4.04,4.06,131.1,19.5,2.59,2.17,1.92,0.486,6.2,58.3,6.22,---
LI 127 x 89 x 8,127,89,7.9,19,13.0,16.5,274,31.5,4.06,3.99,112.0,16.6,2.59,2.11,1.93,0.489,3.7,34.4,6.25,---
LI 127 x 89 x 6,127,89,6.4,17,10.5,13.4,223,25.4,4.09,3.94,91.6,13.4,2.62,2.04,1.93,0.491,1.9,18.0,6.30,---
LI 127 x 76 x 16,127,76,15.9,25,23.4,29.7,475,58.2,3.99,4.57,127.4,22.8,2.07,2.02,1.64,0.349,25.4,222.9,5.99,---
LI 127 x 76 x 13,127,76,12.7,24,19.0,24.2,393,47.4,4.01,4.42,106.1,18.5,2.09,1.89,1.63,0.357,13.4,119.2,6.05,---
LI 127 x 76 x 11,127,76,11.1,22,16.8,21.4,350,42.0,4.04,4.37,95.3,16.4,2.11,1.83,1.64,0.361,9.2,81.6,6.10,---
LI 127 x 76 x 10,127,76,9.5,21,14.5,18.5,306,36.4,4.06,4.29,83.7,14.3,2.13,1.77,1.64,0.364,5.9,52.6,6.12,---
LI 127 x 76 x 8,127,76,7.9,19,12.2,15.5,260,30.6,4.09,4.24,71.6,12.1,2.15,1.71,1.65,0.368,3.5,31.2,6.15,---
LI 127 x 76 x 6,127,76,6.4,17,9.8,12.5,212,24.7,4.11,4.17,58.7,9.8,2.17,1.65,1.66,0.371,1.8,16.3,6.17,---
LI 102 x 89 x 13,102,89,12.7,22,17.7,22.6,221,31.5,3.12,3.15,156.5,24.6,2.64,2.52,1.82,0.75,12.5,81.1,5.16,---
LI 102 x 89 x 11,102,89,11.1,22,15.8,19.9,198,28.2,3.15,3.12,141.5,22.1,2.67,2.48,1.84,0.753,8.6,55.8,5.23,---
LI 102 x 89 x 10,102,89,9.5,19,13.5,17.3,173,24.3,3.18,3.05,123.2,19.0,2.67,2.41,1.83,0.755,5.5,36.0,5.23,---
LI 102 x 89 x 8,102,89,7.9,17,11.4,14.5,147,20.5,3.18,2.97,104.9,16.1,2.69,2.34,1.83,0.757,3.3,21.4,5.28,---
LI 102 x 89 x 6,102,89,6.4,16,9.2,11.7,120,16.6,3.20,2.90,86.2,13.0,2.72,2.28,1.84,0.759,1.7,11.3,5.28,---
LI 102 x 76 x 16,102,76,15.9,25,20.2,25.7,250,37.4,3.12,3.48,118.6,22.0,2.15,2.20,1.60,0.534,22.0,126.7,4.85,---
LI 102 x 76 x 13,102,76,12.7,22,16.5,21.0,209,30.6,3.15,3.35,99.9,18.0,2.18,2.09,1.61,0.543,11.7,68.5,4.93,---
LI 102 x 76 x 11,102,76,11.1,22,14.6,18.5,188,27.5,3.18,3.30,90.7,16.3,2.21,2.04,1.63,0.547,8.0,47.3,4.98,---
LI 102 x 76 x 10,102,76,9.5,19,12.6,16.1,164,23.6,3.20,3.23,78.7,13.9,2.22,1.97,1.62,0.551,5.1,30.6,5.00,---
LI 102 x 76 x 8,102,76,7.9,17,10.6,13.5,140,20.0,3.23,3.18,67.4,11.8,2.24,1.91,1.62,0.554,3.0,18.2,5.03,---
LI 102 x 76 x 6,102,76,6.4,16,8.6,10.9,114,16.2,3.23,3.10,55.4,9.6,2.25,1.84,1.62,0.558,1.6,9.6,5.05,---
LI 89 x 76 x 13,89,76,12.7,22,15.3,19.5,144,23.8,2.72,2.84,96.6,17.9,2.23,2.21,1.57,0.713,10.8,51.3,4.45,---
LI 89 x 76 x 11,89,76,11.1,21,13.5,17.2,129,21.1,2.74,2.77,87.0,15.9,2.25,2.15,1.57,0.717,7.4,35.4,4.47,---
LI 89 x 76 x 10,89,76,9.5,19,11.7,15.0,114,18.4,2.77,2.72,76.6,13.9,2.27,2.09,1.58,0.72,4.7,23.0,4.52,---
LI 89 x 76 x 8,89,76,7.9,17,9.9,12.6,97,15.6,2.77,2.67,65.8,11.8,2.29,2.03,1.58,0.722,2.8,13.7,4.55,---
LI 89 x 76 x 6,89,76,6.4,16,8.0,10.2,80,12.7,2.79,2.59,54.1,9.6,2.31,1.96,1.60,0.725,1.5,7.3,4.60,---
LI 89 x 64 x 13,89,64,12.7,22,14.0,17.8,135,23.1,2.74,3.05,56.6,12.4,1.78,1.78,1.35,0.485,9.7,42.7,4.24,---
LI 89 x 64 x 11,89,64,11.1,22,12.4,15.7,121,20.6,2.77,3.00,51.2,11.1,1.81,1.73,1.36,0.491,6.7,29.5,4.27,---
LI 89 x 64 x 10,89,64,9.5,19,10.8,13.7,107,17.9,2.79,2.92,45.4,9.7,1.82,1.66,1.36,0.495,4.3,19.2,4.29,---
LI 89 x 64 x 8,89,64,7.9,17,9.1,11.5,92,15.2,2.82,2.87,39.0,8.2,1.84,1.61,1.37,0.5,2.5,11.4,4.34,---
LI 89 x 64 x 6,89,64,6.4,16,7.4,9.4,75,12.3,2.84,2.79,32.3,6.7,1.86,1.54,1.37,0.504,1.3,6.0,4.37,---
LI 76 x 64 x 13,76,64,12.7,22,12.7,16.2,86,16.9,2.31,2.53,53.7,12.1,1.82,1.89,1.31,0.666,8.9,30.1,3.71,---
LI 76 x 64 x 11,76,64,11.1,21,11.3,14.3,78,15.1,2.33,2.47,48.7,10.7,1.84,1.84,1.31,0.671,6.1,20.9,3.76,---
LI 76 x 64 x 10,76,64,9.5,19,9.8,12.5,69,13.2,2.35,2.41,42.9,9.4,1.86,1.78,1.31,0.675,3.9,13.6,3.78,---
LI 76 x 64 x 8,76,64,7.9,17,8.2,10.5,59,11.2,2.37,2.35,37.0,8.0,1.88,1.72,1.32,0.68,2.3,8.2,3.84,---
LI 76 x 64 x 6,76,64,6.4,16,6.7,8.5,48,9.1,2.39,2.29,30.6,6.5,1.89,1.66,1.32,0.683,1.2,4.3,3.86,---
LI 76 x 64 x 5,76,64,4.8,14,5.1,6.5,37,6.9,2.41,2.22,23.6,5.0,1.91,1.59,1.32,0.687,0.5,1.9,3.89,---
LI 76 x 51 x 13,76,51,12.7,21,11.5,14.6,80,16.4,2.34,2.74,27.8,7.7,1.38,1.47,1.08,0.413,8.0,24.4,3.53,---
LI 76 x 51 x 11,76,51,11.1,19,10.1,12.9,72,14.7,2.37,2.69,25.3,6.9,1.40,1.42,1.09,0.421,5.5,17.0,3.58,---
LI 76 x 51 x 10,76,51,9.5,17,8.9,11.3,64,12.8,2.38,2.62,22.4,6.0,1.41,1.36,1.08,0.426,3.6,11.1,3.61,---
LI 76 x 51 x 8,76,51,7.9,16,7.5,9.5,55,10.8,2.40,2.57,19.4,5.1,1.43,1.30,1.09,0.432,2.1,6.7,3.66,---
LI 76 x 51 x 6,76,51,6.4,14,6.1,7.7,45,8.9,2.42,2.49,16.2,4.2,1.45,1.24,1.09,0.437,1.1,3.5,3.68,---
LI 76 x 51 x 5,76,51,4.8,13,4.6,5.9,35,6.8,2.44,2.42,12.7,3.2,1.47,1.17,1.10,0.442,0.5,1.6,3.71,---
LI 64 x 51 x 10,64,51,9.5,16,7.9,10.1,38,8.9,1.95,2.10,21.4,5.9,1.46,1.47,1.06,0.613,3.1,7.2,3.07,---
LI 64 x 51 x 8,64,51,7.9,14,6.7,8.5,33,7.6,1.97,2.04,18.6,5.1,1.48,1.41,1.07,0.618,1.8,4.4,3.12,---
LI 64 x 51 x 6,64,51,6.4,13,5.4,6.9,27,6.2,1.99,1.98,15.5,4.1,1.50,1.35,1.07,0.624,1.0,2.3,3.18,---
LI 64 x 51 x 5,64,51,4.8,11,4.1,5.3,21,4.8,2.01,1.92,12.2,3.2,1.52,1.29,1.08,0.628,0.4,1.0,3.20,---
