LI 89 x 89 x 8,89,89,8,17,10.66,13.5,101.6,15.88,2.74,2.49,101.6,15.88,2.74,2.49,1.74,1,3.0,17.0,4.88,0.632
LI 89 x 89 x 6,89,89,6,16,8.62,11.0,83.2,12.90,2.77,2.42,83.2,12.90,2.77,2.42,1.75,1,1.6,9.0,4.90,0.632
LI 76 x 76 x 13,76,76,13,22,13.91,17.7,91.6,17.37,2.27,2.36,91.6,17.37,2.27,2.36,1.47,1,9.6,38.7,4.04,0.635
LI 76 x 76 x 11,76,76,11,21,12.32,15.7,82.4,15.50,2.29,2.30,82.4,15.50,2.29,2.30,1.47,1,6.5,26.9,4.09,0.632
LI 76 x 76 x 10,76,76,10,19,10.67,13.6,72.8,13.52,2.31,2.25,72.8,13.52,2.31,2.25,1.48,1,4.2,17.5,4.11,0.63
LI 76 x 76 x 8,76,76,8,17,8.99,11.5,62.4,11.45,2.33,2.18,62.4,11.45,2.33,2.18,1.48,1,2.5,10.5,4.14,0.629
LI 76 x 76 x 6,76,76,6,16,7.28,9.3,51.2,9.32,2.35,2.12,51.2,9.32,2.35,2.12,1.49,1,1.3,5.5,4.19,0.628
LI 76 x 76 x 5,76,76,5,14,5.51,7.0,39.5,7.10,2.37,2.06,39.5,7.10,2.37,2.06,1.49,1,0.6,2.4,4.22,0.627
LI 64 x 64 x 13,64,64,13,19,11.38,14.5,50.8,11.73,1.87,2.04,50.8,11.73,1.87,2.04,1.22,1,7.8,21.2,3.30,0.639
LI 64 x 64 x 10,64,64,10,16,8.78,11.2,40.5,9.14,1.90,1.93,40.5,9.14,1.90,1.93,1.22,1,3.5,9.7,3.38,0.633
LI 64 x 64 x 8,64,64,8,14,7.41,9.4,34.8,7.77,1.92,1.87,34.8,7.77,1.92,1.87,1.22,1,2.1,5.9,3.43,0.632
LI 64 x 64 x 6,64,64,6,13,6.01,7.7,28.8,6.34,1.94,1.81,28.8,6.34,1.94,1.81,1.22,1,1.1,3.1,3.45,0.629
LI 64 x 64 x 5,64,64,5,11,4.55,5.8,22.3,4.83,1.96,1.74,22.3,4.83,1.96,1.74,1.22,1,0.5,1.4,3.51,0.628
LI 51 x 51 x 10,51,51,10,16,6.92,8.8,19.8,5.70,1.50,1.61,19.8,5.70,1.50,1.61,0.98,1,2.7,4.7,2.64,0.638
LI 51 x 51 x 8,51,51,8,14,5.86,7.5,17.2,4.88,1.52,1.55,17.2,4.88,1.52,1.55,0.98,1,1.6,2.8,2.69,0.635
LI 51 x 51 x 6,51,51,6,13,4.78,6.1,14.4,4.00,1.54,1.49,14.4,4.00,1.54,1.49,0.98,1,0.9,1.5,2.74,0.633
LI 51 x 51 x 5,51,51,5,11,3.66,4.7,11.3,3.08,1.55,1.42,11.3,3.08,1.55,1.42,0.99,1,0.4,0.7,2.77,0.632
LI 51 x 51 x 3,51,51,3,10,2.49,3.2,7.9,2.11,1.57,1.36,7.9,2.11,1.57,1.36,0.99,1,0.1,0.2,2.79,0.633
LI 44 x 44 x 6,44,44,6,13,4.12,5.2,9.4,3.05,1.34,1.34,9.4,3.05,1.34,1.34,0.87,1,0.8,1.0,2.39,0.631
LI 44 x 44 x 5,44,44,5,11,3.15,4.0,7.5,2.36,1.36,1.29,7.5,2.36,1.36,1.29,0.87,1,0.3,0.4,2.43,0.629
LI 38 x 38 x 6,38,38,6,11,3.48,4.4,5.8,2.20,1.14,1.18,5.8,2.20,1.14,1.18,0.74,1,0.7,0.6,2.03,0.635
LI 38 x 38 x 5,38,38,5,10,2.68,3.4,4.6,1.70,1.16,1.13,4.6,1.70,1.16,1.13,0.74,1,0.3,0.3,2.07,0.63
LI 32 x 32 x 6,32,32,6,11,2.86,3.6,3.2,1.49,0.94,1.02,3.2,1.49,0.94,1.02,0.62,1,0.5,0.3,1.66,0.639
LI 32 x 32 x 5,32,32,5,10,2.20,2.8,2.5,1.16,0.96,0.97,2.5,1.16,0.96,0.97,0.62,1,0.2,0.2,1.70,0.63
LI 29 x 29 x 3,29,29,3,6,1.34,1.7,1.3,0.66,0.88,0.83,1.3,0.66,0.88,0.83,0.56,1,0.1,0.0,1.57,0.632
LI 25 x 25 x 3,25,25,3,6,1.19,1.5,0.9,0.51,0.77,0.75,0.9,0.51,0.77,0.75,0.50,1,0.1,0.0,1.38,0.633
